num_partitions coarsening_factor mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 2 65300.0 45867.0 36868.0 270.6563980579376
8 2 110064.0 79881.0 70034.0 353.1108179092407
16 2 161124.0 123153.0 113479.0 466.0900790691376
8 4 110112.0 80237.0 69069.0 353.969122171402
16 4 160897.0 122641.0 101064.0 496.5255558490753
32 4 233141.0 182833.0 179062.0 526.2942290306091
64 4 326756.0 260800.0 236618.0 723.8672320842743
16 8 161426.0 122923.0 110803.0 585.4303240776062
32 8 233207.0 183465.0 167071.0 673.5308291912079
64 8 327511.0 262007.0 230767.0 1472.7541933059692
