num_partitions coarsening_factor mean_cost_init_ng mean_cost_init mean_cost_final mean_time_taken
4 2 81707.8 52115.8 40914.8 273.9250259399414
8 2 169875.2 109328.2 87964.4 359.5571261405945
16 2 338192.8 217539.2 178395.0 463.7141258716583
32 2 655466.0 423501.0 357539.6666666667 661.9563023249308
8 4 169875.2 109328.2 92316.0 495.36767144203185
16 4 338088.0 217640.0 176218.5 889.2237442731857
32 4 659806.0 424679.0 376353.0 713.4050199985504
16 8 338698.0 217307.0 191711.0 1629.4305720329285
32 8 657773.0 422724.0 352923.0 1115.8927211761475
64 8 1243558.0 801674.0 718014.0 5287.480266094208
