num_qubits r_mean r_min r_max
112 15.817310476303101 15.623030424118042 16.107463598251343
128 21.744097900390624 21.317803144454956 22.328115224838257
144 30.930623006820678 29.707749128341675 32.49294710159302
160 39.8812771320343 38.43972730636597 41.30891466140747
176 50.766961336135864 48.66291666030884 52.22193694114685
192 61.21067385673523 59.539339542388916 62.84548211097717
208 72.63530368804932 68.53341317176819 75.32534503936768
224 89.43334908485413 87.65140557289124 91.0968086719513
240 102.05971436500549 100.79590392112732 103.40248322486877
256 119.34266495704651 115.82882380485535 122.4799292087555
