num_qubits r_mean r_min r_max
16 0.822107458114624 0.8191843032836914 0.830186128616333
24 2.2012284278869627 2.12072491645813 2.2551157474517822
32 4.2575959205627445 4.113443613052368 4.329267501831055
40 7.189347648620606 7.027283430099487 7.343731880187988
48 10.75188226699829 10.627801179885864 11.032452821731567
56 15.5367901802063 15.314874649047852 15.683541536331177
64 20.36994261741638 19.963626384735107 20.69695544242859
72 27.636299037933348 26.762879133224487 28.257351398468018
80 36.35973491668701 36.136255979537964 36.96051573753357
88 45.73554348945618 45.01016712188721 46.99941277503967
96 57.06644434928894 56.5137836933136 58.08916115760803
