pass f w b r
0 1275 1161 1150 1148
1 1274 1125 1099 1096
2 1273 1106 1086 1082
3 1272 1101 1077 1079
4 1271 1101 1078 1075
5 1270 1094 1058 1045
6 1270 1091 1045 1037
7 1268 1090 1039 1038
8 1267 1090 1033 1037
9 1267 1090 1033 1037
10 1267 1087 1026 1015
11 1267 1087 1026 1005
12 1267 1087 1026 999
13 1266 1086 1026 995
14 1266 1084 1026 989
15 1266 1077 1023 974
16 1266 1077 1023 971
17 1265 1076 1022 965
18 1265 1076 1022 962
19 1265 1076 1022 962
20 1264 1064 1018 944
21 1263 1062 1018 939
22 1262 1061 1018 933
23 1262 1061 1018 931
24 1262 1060 1017 928
25 1262 1056 1017 919
26 1262 1054 1016 917
27 1262 1054 1015 916
28 1261 1052 1014 916
29 1261 1052 1014 916
30 1260 1049 1013 905
31 1259 1047 1013 904
32 1259 1047 1012 903
33 1258 1046 1011 902
34 1258 1046 1011 899
35 1258 1045 1011 899
36 1258 1045 1011 899
37 1258 1045 1011 899
38 1258 1044 1011 899
39 1258 1044 1011 899
