pass f w b r
0 0.16733813285827637 0.03173494338989258 0.02898883819580078 0.10374903678894043
1 0.334820032119751 0.05482959747314453 0.054739952087402344 0.23047304153442383
2 0.49977707862854004 0.0720524787902832 0.08124065399169922 0.3547039031982422
3 0.6654808521270752 0.08922767639160156 0.10748767852783203 0.4575817584991455
4 0.8299269676208496 0.10497069358825684 0.133772611618042 0.5590157508850098
5 0.998852014541626 0.14423847198486328 0.17605948448181152 0.656378984451294
6 1.1661770343780518 0.1799924373626709 0.22499942779541016 0.7465240955352783
7 1.3306970596313477 0.21858644485473633 0.2667725086212158 0.8430430889129639
8 1.4950792789459229 0.256197452545166 0.30127525329589844 0.9334762096405029
9 1.660057544708252 0.290698766708374 0.3351624011993408 1.0242524147033691
10 1.8247954845428467 0.34955668449401855 0.39183926582336426 1.1157963275909424
11 1.9883484840393066 0.4048175811767578 0.4456653594970703 1.2894093990325928
12 2.1631734371185303 0.46129465103149414 0.5025014877319336 1.3881022930145264
13 2.327857494354248 0.5160880088806152 0.5576214790344238 1.4797663688659668
14 2.49216365814209 0.5720889568328857 0.6121022701263428 1.566727638244629
15 2.6554768085479736 0.6522858142852783 0.6904971599578857 1.6597976684570312
16 2.8192527294158936 0.7289440631866455 0.7677361965179443 1.7467217445373535
17 2.983177900314331 0.8050339221954346 0.8430962562561035 1.8347375392913818
18 3.1527099609375 0.8822038173675537 0.9201250076293945 1.9353806972503662
19 3.323103904724121 0.9607958793640137 0.9951388835906982 2.025611639022827
20 3.4879159927368164 1.0702788829803467 1.0971767902374268 2.1237947940826416
21 3.6521100997924805 1.1719465255737305 1.1930382251739502 2.216866970062256
22 3.8158693313598633 1.271479606628418 1.308488368988037 2.310204029083252
23 3.9796104431152344 1.371431827545166 1.413299322128296 2.40859317779541
24 4.144233226776123 1.4717886447906494 1.5181832313537598 2.5014920234680176
25 4.316357374191284 1.5934758186340332 1.6472752094268799 2.610633134841919
26 4.482283353805542 1.7147319316864014 1.7696073055267334 2.714495897293091
27 4.644951581954956 1.8369710445404053 1.8933372497558594 2.8194069862365723
28 4.808724403381348 1.959538221359253 2.0122973918914795 2.9235188961029053
29 4.972680330276489 2.083792209625244 2.128528118133545 3.0285348892211914
30 5.137039422988892 2.231049060821533 2.278329372406006 3.157576084136963
31 5.307732582092285 2.3751559257507324 2.4325413703918457 3.2798938751220703
32 5.478213787078857 2.519559860229492 2.570586681365967 3.4126358032226562
33 5.643310070037842 2.663517951965332 2.7079925537109375 3.5365350246429443
34 5.807744026184082 2.8081250190734863 2.8681325912475586 3.659822940826416
35 5.97294020652771 3.2844581604003906 3.035764694213867 3.8305978775024414
36 6.137115240097046 3.4482688903808594 3.2022664546966553 3.99322772026062
37 6.300818204879761 3.617656946182251 3.376861333847046 4.161788463592529
38 6.474518060684204 3.7793309688568115 3.5433592796325684 4.326026439666748
39 6.639846086502075 3.9420478343963623 3.7046585083007812 4.501530408859253
