circuit               mlfm_r_cost_frac         mlfm_r_time_frac
CP_2-12               0.4176453429554292       0.012050327374217152
CP_large_2            0.21295177770130214      0.004746967196017594
CP_large_4            0.3937108179186975       0.006435254600394084
QAOA_2                0.02325384626309253      0.008944419327405332
QAOA_4                0.0649917050409787       0.017506555412030073
QASM_234              0.0492619757552071       0.03037600711204851
QASM_large_234        0.022744514691323974     0.07381616305098943
QFT_2                 0.023060356227852404     0.005074307028509208
QFT_4                 0.06414247799085268      0.011494456053758154
QV_2                  0.13615229254032568      0.003235665936670085
QV_4                  0.24126083053592673      0.005677347427637628
Average:              0.14992508523827167      0.01630522459269793
